feature,delta,perturbed_weight,spearman_rho,top10_stable
wind_speed_norm,-0.1500,0.0010,0.9950,8
wind_speed_norm,-0.1250,0.0010,0.9950,8
wind_speed_norm,-0.1000,0.0010,0.9950,8
wind_speed_norm,-0.0750,0.0010,0.9950,8
wind_speed_norm,-0.0500,0.0010,0.9950,8
wind_speed_norm,-0.0250,0.0078,0.9970,8
wind_speed_norm,0.0000,0.0328,1.0000,10
wind_speed_norm,0.0250,0.0578,0.9975,8
wind_speed_norm,0.0500,0.0828,0.9908,7
wind_speed_norm,0.0750,0.1078,0.9812,6
wind_speed_norm,0.1000,0.1328,0.9695,5
wind_speed_norm,0.1250,0.1578,0.9564,5
wind_speed_norm,0.1500,0.1828,0.9424,4
slope_norm,-0.1500,0.0010,0.9960,9
slope_norm,-0.1250,0.0010,0.9960,9
slope_norm,-0.1000,0.0010,0.9960,9
slope_norm,-0.0750,0.0010,0.9960,9
slope_norm,-0.0500,0.0010,0.9960,9
slope_norm,-0.0250,0.0075,0.9974,9
slope_norm,0.0000,0.0325,1.0000,10
slope_norm,0.0250,0.0575,0.9969,9
slope_norm,0.0500,0.0825,0.9869,7
slope_norm,0.0750,0.1075,0.9691,7
slope_norm,0.1000,0.1325,0.9430,5
slope_norm,0.1250,0.1575,0.9083,5
slope_norm,0.1500,0.1825,0.8655,2
dist_to_grid_norm,-0.1500,0.0010,0.8906,0
dist_to_grid_norm,-0.1250,0.0010,0.8906,0
dist_to_grid_norm,-0.1000,0.0010,0.8906,0
dist_to_grid_norm,-0.0750,0.0113,0.9155,2
dist_to_grid_norm,-0.0500,0.0363,0.9639,6
dist_to_grid_norm,-0.0250,0.0613,0.9919,9
dist_to_grid_norm,0.0000,0.0863,1.0000,10
dist_to_grid_norm,0.0250,0.1113,0.9948,9
dist_to_grid_norm,0.0500,0.1363,0.9839,8
dist_to_grid_norm,0.0750,0.1613,0.9718,7
dist_to_grid_norm,0.1000,0.1863,0.9603,7
dist_to_grid_norm,0.1250,0.2113,0.9496,5
dist_to_grid_norm,0.1500,0.2363,0.9398,5
dist_to_roads_norm,-0.1500,0.0010,0.9985,9
dist_to_roads_norm,-0.1250,0.0010,0.9985,9
dist_to_roads_norm,-0.1000,0.0010,0.9985,9
dist_to_roads_norm,-0.0750,0.0010,0.9985,9
dist_to_roads_norm,-0.0500,0.0010,0.9985,9
dist_to_roads_norm,-0.0250,0.0010,0.9985,9
dist_to_roads_norm,0.0000,0.0188,1.0000,10
dist_to_roads_norm,0.0250,0.0438,0.9979,7
dist_to_roads_norm,0.0500,0.0688,0.9930,4
dist_to_roads_norm,0.0750,0.0938,0.9872,3
dist_to_roads_norm,0.1000,0.1188,0.9811,3
dist_to_roads_norm,0.1250,0.1438,0.9753,1
dist_to_roads_norm,0.1500,0.1688,0.9700,0
land_use_norm,-0.1500,0.0010,0.9895,8
land_use_norm,-0.1250,0.0010,0.9895,8
land_use_norm,-0.1000,0.0010,0.9895,8
land_use_norm,-0.0750,0.0010,0.9895,8
land_use_norm,-0.0500,0.0010,0.9895,8
land_use_norm,-0.0250,0.0175,0.9960,9
land_use_norm,0.0000,0.0425,1.0000,10
land_use_norm,0.0250,0.0675,0.9958,9
land_use_norm,0.0500,0.0925,0.9838,9
land_use_norm,0.0750,0.1175,0.9653,7
land_use_norm,0.1000,0.1425,0.9427,5
land_use_norm,0.1250,0.1675,0.9180,0
land_use_norm,0.1500,0.1925,0.8931,0
protected_area_norm,-0.1500,0.6242,0.9757,7
protected_area_norm,-0.1250,0.6492,0.9815,7
protected_area_norm,-0.1000,0.6742,0.9869,7
protected_area_norm,-0.0750,0.6992,0.9918,8
protected_area_norm,-0.0500,0.7242,0.9960,8
protected_area_norm,-0.0250,0.7492,0.9989,9
protected_area_norm,0.0000,0.7742,1.0000,10
protected_area_norm,0.0250,0.7992,0.9986,9
protected_area_norm,0.0500,0.8242,0.9938,8
protected_area_norm,0.0750,0.8492,0.9849,7
protected_area_norm,0.1000,0.8742,0.9712,6
protected_area_norm,0.1250,0.8992,0.9527,5
protected_area_norm,0.1500,0.9242,0.9298,4
conflict_risk_norm,-0.1500,0.0010,0.9998,10
conflict_risk_norm,-0.1250,0.0010,0.9998,10
conflict_risk_norm,-0.1000,0.0010,0.9998,10
conflict_risk_norm,-0.0750,0.0010,0.9998,10
conflict_risk_norm,-0.0500,0.0010,0.9998,10
conflict_risk_norm,-0.0250,0.0010,0.9998,10
conflict_risk_norm,0.0000,0.0129,1.0000,10
conflict_risk_norm,0.0250,0.0379,0.9991,9
conflict_risk_norm,0.0500,0.0629,0.9965,9
conflict_risk_norm,0.0750,0.0879,0.9926,8
conflict_risk_norm,0.1000,0.1129,0.9878,8
conflict_risk_norm,0.1250,0.1379,0.9822,6
conflict_risk_norm,0.1500,0.1629,0.9759,5
